1024	Hz

N	L - Deltoid(uV)	L - Tricep(uV)	L - Bicep(uV)	L - Flex(uV)	L - Ex(uV)	R - Deltoid(uV)	R - Tricep(uV)	R - Bicep(uV)	R - Flex(uV)	R - Ex(uV)
17	54.99995926314	29.06013204815	7.57350551484	3.86984139961	-0.04378324346	-76.69032578475	1.28762534144	1.63689619172	-4.34349646437	9.20542686712
18	36.50601906873	2.76630475561	3.05189100589	8.28697377935	5.18333893369	-42.45183086973	-5.47589042287	7.82625446997	-11.57469691333	5.01517111349
19	27.99409728464	-1.42096519428	-3.64993028514	13.55887437412	9.39349513609	-12.59166270483	-0.67366484401	7.41678177553	-7.69888526999	12.42747541078
20	14.04409707591	5.16642237940	-6.30777183988	9.46613632906	5.81919102941	-2.10756599824	6.72371254838	6.03313190015	2.82302411670	10.30498271221
21	-0.16424934486	2.43594044995	-6.57345682314	5.43807787914	3.65490553371	5.19229443566	6.56151579017	5.56494958154	6.33563388647	1.91850205222
22	-12.11900181698	-1.71550694654	-5.02711214646	3.12453138060	1.34533956132	13.85938582461	5.07985125414	5.84804807116	3.41409788430	-3.06781201951
23	-11.62221120541	-4.01213716354	-2.63097477607	-6.06895445355	-1.22195047838	14.19174039335	1.14931010366	2.02447735605	-3.90068870444	-5.78933844699
24	-32.19573274995	0.24777334857	-1.77023604455	-14.83057747457	1.58614748349	11.30403640875	0.64182254402	-1.31747751474	-6.97745649867	-0.25274871647
25	-65.61372541414	6.46200863678	1.47967454570	-22.31651741449	1.98616704199	6.24707277088	0.25274871647	-2.57475318531	-11.43737667071	-2.45385172665
26	-83.66100878839	4.80023524759	0.36220681022	-24.27183783353	-7.08293416855	5.24602853851	-1.87670898234	-3.24841809751	-20.69554155452	-12.82052904852
27	-77.63702004281	-1.58316222524	-5.21816649192	-27.98744216348	-18.28149345293	7.66604770208	-2.30857097722	-1.49211293987	-24.80221171388	-6.64311193961
28	-40.23804081888	2.47474826159	-8.53275667733	-21.99908777321	-15.07337593256	7.84715100491	8.38847092307	0.13582755383	-16.93316917886	-1.64983208347
29	-17.05282607532	6.98044202967	1.82496514257	-10.80550455565	-12.27920913036	1.06671895906	4.41514184392	-3.63649675942	-5.84804807116	0.24976349232
30	-17.79993979580	3.73351642490	9.96864816282	-2.68271861584	-13.10213559090	-5.80127947996	4.05990047716	-6.29583135241	-0.56022646277	-5.12661929984
31	4.07899358337	-4.18926021296	4.23005828768	8.75565305004	-7.40334824982	2.47574325675	9.28403694006	-1.78665482851	3.51360503768	-7.30483609159
32	59.42094970390	-9.71788974352	1.72943810621	10.53683513240	-1.24483714002	11.69410615200	6.99536804812	-2.22796995932	6.05900341091	0.11642362244
33	92.15576254189	-7.44613631487	3.25986136014	7.98447124753	-0.66271907896	10.16169249861	5.14851137545	-4.65943252190	7.11577173645	-3.97233408399
34	86.54062080026	-5.61321066549	7.61629412539	7.36653015575	-1.99114242694	13.25438185197	0.95527070452	-4.91417146736	6.27393927681	-6.65903295323
35	75.42552982727	-13.15089362693	6.40130902228	6.68888499015	-0.18110340511	7.66604770208	-2.90661025646	-1.89312762992	14.24945447686	1.39210801615
36	58.07424120597	-25.34154055070	2.70859067210	7.74067833988	-0.41594081079	-4.69873810387	-4.05393023343	-1.87720647992	13.07427245331	-0.22488665284
37	17.33673354402	-24.86390577804	5.02313216580	4.60221593598	-0.75227566702	0.97318204941	-1.50952671899	-5.93909722016	-0.20000981335	-7.58743653814
38	-16.59167200106	-14.24945447686	6.70281601344	6.39135797964	5.06193970469	9.46514024289	0.94830519287	-4.46191043512	-9.03029353527	-9.24224387018
39	-15.73342103020	3.48375300077	-3.90068870444	3.78227500643	7.69291475351	12.25134708377	1.99114242694	-3.46484645615	-5.17736841720	-0.27165510766
40	-19.68162402671	9.40742615939	-13.53698229852	2.54141811982	9.65420459803	20.20994682054	2.34638379370	-0.92094071205	-1.87272859256	-1.83392078092
41	-5.81234989216	17.23169063903	-6.26199878934	2.07273844000	11.46523871730	12.77873597863	-1.28563521474	3.25538360916	-7.90884561457	-3.54445234251
42	-12.37343037194	22.48070470853	15.69330701466	2.86481718658	11.80455934319	7.11477674129	-8.66012642281	2.51753632663	-4.56042259334	5.24901352400
43	-27.00580088230	16.20278490557	21.04680321337	0.38608856931	8.53972218898	3.66187104535	-4.72062963398	3.70714687106	2.37026558688	12.57176061955
44	-16.28438105501	8.63624435687	11.80455934319	-1.94835422552	2.12945766472	9.63032253210	-4.33155570415	3.55689087306	-0.43584228238	5.27488558026
45	7.02099081009	12.27721914004	1.85282718916	1.00303429089	-2.94342780503	14.75495238711	-6.91476689385	4.44200889534	-1.91651192552	0.68660080396
46	36.24904192965	9.97959420062	-8.15761404354	-5.72963437316	-8.41732796482	11.61449999289	-7.55957449155	0.70849247044	2.68769386441	-3.52753606098
47	60.81759561261	12.58270665735	-4.08179228001	-8.73376151993	-4.56738810499	3.53052131922	-7.24314148193	-1.78914245279	22.96430945218	1.37917212440
