1024	Hz

N	L - Deltoid(uV)	L - Tricep(uV)	L - Bicep(uV)	L - Flex(uV)	L - Ex(uV)	R - Deltoid(uV)	R - Tricep(uV)	R - Bicep(uV)	R - Flex(uV)	R - Ex(uV)
1	5.40673280398	0.50947772044	-5.92267870896	9.51489436509	-14.52708103859	-74.33200395835	5.29279712971	69.79994063643	9.07208660516	-3.04691548457
2	6.72620058179	3.12851163401	-3.81013705302	8.09293444839	-12.68420380106	-66.77939279644	8.08994891740	92.93042737297	6.74261909300	-1.43987160252
3	7.71057700867	6.60728938621	-3.71162489480	3.96039332377	-7.09487520151	-52.21947582645	12.49115946527	95.31860778231	0.97417711276	-2.42897493830
4	-9.43553695476	7.09487520151	-3.75142770160	2.38121135193	-2.11652163659	-41.48064140179	10.10696340060	60.69949230509	-3.52654106581	-2.92750679141
5	-15.98262476956	6.12865852738	-6.97148598219	-2.71953643715	-2.77725052066	-33.12600304179	9.44822423410	19.03824618906	-2.56828517124	-1.46076813746
6	-15.12711003541	4.50370350500	-9.83928897251	-5.09676726293	-0.81795053009	-5.87889510324	12.42747541078	0.97218698605	-1.90556602409	-2.19314240108
7	-25.38258846522	0.12637435824	-7.42623477509	-7.02323009471	1.24583227156	15.52513973996	12.53394753032	-31.10401358278	-4.94551599702	-3.86387115587
8	-19.61489170854	0.87665988151	-6.80530869782	-7.65709165461	-1.24682726673	27.71081168792	9.82635294438	-81.77266507231	-10.39155383747	-9.04621454889
9	-7.98198321412	1.35429533605	-7.65311167395	-4.84600884363	3.09268908061	69.45216364265	1.23787162838	-121.48953789810	-14.73306031151	-10.60450025854
10	4.16264191033	5.79132898282	-6.24309224473	-5.65400874021	4.47385119534	94.46632460043	-2.52748709652	-132.28310578479	-15.16094205298	-7.72575177592
11	5.42713184134	7.32374209071	-8.55365321227	-3.06184177578	4.36737825755	67.51973029438	-1.29558598463	-119.98897172698	-11.40254965798	-5.54355554901
12	-11.02367470133	3.65789079195	-3.22403880674	-2.72749694396	4.08079701210	29.95370752932	-2.61903401585	-109.10236306446	-10.02835223665	-6.40230401745
13	-37.52149018547	-0.81795053009	3.62405822888	-5.80426446545	0.57813780766	-1.08662043065	-7.04512162482	-92.71897344464	-11.60653894057	-8.25015568529
14	-45.01091479047	-6.14159455551	9.02332802363	-5.74257040129	-3.05189100589	-39.11435525006	-10.60549525371	-76.15198976109	-7.40832322564	-7.28493455182
15	-41.68314037364	-11.58365296081	11.41249960962	-2.43992070335	-2.33643302381	-56.49232108818	-10.46519002560	-57.89338774294	-0.67565503890	-1.77620656104
16	-56.55078141806	-14.20268643116	13.22154373856	2.09363497494	-3.22702379223	-67.57545438756	-4.73555565244	-33.73349559335	3.72854117633	3.63997951525
17	-68.96557173151	-15.83460723793	15.59777984193	3.45688594934	-4.91267897461	-50.19151421445	-2.62599952750	-20.04774951683	6.95058944725	-1.08861062554
18	-67.09532994498	-14.16785941842	19.49747355120	0.40399991419	-5.45797887342	-8.53176168217	-4.44101390018	-9.51389936992	5.42713184134	-2.94342780503
19	-84.15263240753	-19.56115760569	21.37816278694	0.55127082442	-7.40832322564	9.85122891448	-9.94178111139	-0.25871914772	4.38827479249	-4.78729921946
20	-83.80660101931	-20.03381740253	7.45111183619	1.38215738264	-10.80152457499	13.99670606723	-11.78465725791	6.07442747245	5.24602853851	0.19403936505
21	-42.54910037501	-11.98466765085	-7.18244186744	2.82302411670	-15.73410508938	15.96894249506	-8.52280618019	7.38444170520	7.41130875663	1.00104409600
22	9.29199799238	-2.96929986129	-12.82948509599	4.42509261380	-12.48618448945	-0.48758608805	-7.71878626427	11.16273618548	7.36553516059	6.81426474530
23	56.80402950727	9.90098303667	-15.75798715531	4.25991032460	-6.02616638850	-6.92969291231	-5.98337777795	17.13914845179	3.50365426780	5.87790010808
24	70.78307441035	18.62578796363	-6.13860957002	-1.49161544229	-7.97850073104	-3.81511257434	3.52256081241	32.71553480669	4.20319123626	4.47086593709
25	84.12576753811	16.01670553592	-7.25110198874	-3.23896482520	-5.76943690722	-4.60719091180	4.53853106324	25.12760131647	0.87765501305	5.06492523568
26	96.77439917107	14.39374077662	-17.09337540125	-1.35628546275	-2.97328011469	9.14273671679	3.78725052775	11.80953431901	-1.12841356872	3.17428495730
27	86.96073568804	17.46951303020	-15.35199639845	-0.50748755964	-2.32946751216	4.95944702031	11.90705148207	17.65161241919	0.01393103182	-1.75829514796
28	65.92860647132	16.13312978910	-14.88431157742	-4.84600884363	-2.96631460305	-3.16035393400	21.94137368970	35.08231845600	-2.53544760333	-2.13940843461
29	71.39554193772	12.71405583798	-17.33318778274	-6.22717123110	0.03283743153	1.26175342156	21.96326576531	30.48358391209	-4.55047182345	-3.05189100589
30	81.29602747681	8.33075683956	-14.92909072380	-7.32971260719	3.78625525984	-3.46086620275	18.28845951008	24.85893080222	-9.02034303813	-0.93536923293
31	69.09841231388	4.17234393143	-10.04924931709	-8.94869738583	1.84387155081	2.20309317097	12.65932673997	27.87350648922	-15.03954391499	0.12239406221
32	42.12171940413	0.72341855708	-2.58221619454	-10.39055884230	-1.79710309598	10.62340625766	3.76038347633	17.75758704114	-13.96884402064	-3.64794002206
33	17.32945655088	-2.73048220221	2.54042312465	-9.82834293471	0.30946790709	13.02949439793	2.20309317097	1.93342820706	-12.37871628375	-5.85998910413
34	-18.31756420962	-7.20831392370	10.66918039920	-5.63311220526	-0.61595062413	23.06779767722	1.89860051245	-7.51230894826	-10.07014530653	-3.75441295985
35	-62.67794854369	-13.36184896667	14.85246955017	-2.27871866755	-4.05094497518	26.66001387886	-0.66570426902	-16.49881887783	-1.45479775735	-3.72655091326
36	-89.26133906692	-13.55688329279	13.80266673627	1.91850205222	-8.44817554240	21.26273461994	-3.45887621242	-11.82943531329	1.18811791531	-1.60007850678
37	-65.11189873056	-7.36255017510	10.25622467618	2.28170392579	-8.79844166059	0.91546776134	-5.11865879303	-6.71525454399	3.54146708427	2.65087631584
38	-45.44899632337	-5.15647188226	19.96117839157	3.43300415616	-5.54455054418	-11.85729735987	-3.98626510728	-3.17926047862	7.61231359923	5.60923013933
39	-33.79419466234	-6.18537816122	33.57279078238	4.26787110416	-4.36538826722	-23.10760184778	-6.41623504074	-4.80620576407	7.73570281856	8.05313136884
40	-1.76053415983	-3.72655091326	29.52084972103	5.83909256919	-4.84302331264	-25.29477359601	-8.13472751828	-9.88506202305	5.67988079647	6.98143702483
41	26.70802675952	-3.89272819763	21.96326576531	6.02915137399	-6.22418570011	-13.23248977637	-9.34672709039	-14.98182874048	8.88003726453	8.82928869267
42	25.18979287821	-4.23105328285	18.47951276454	5.94357524390	-8.09094391256	1.90656115563	-9.85321999581	2.64042804837	10.01143622787	9.96566317733
43	17.15059198717	-7.20731838303	17.41478393218	6.18537816122	-8.03422482422	25.13357128746	-3.49071851242	30.11839232094	4.77734872232	7.47499335662
44	-0.07214284304	-6.80132871717	17.99491193473	5.50972298594	-3.39817659792	38.88150892572	-0.49853192129	44.14843290816	4.57335862147	6.72172255806
45	-22.41751815163	-1.47270903405	17.74713850092	1.34135930792	-2.07174344484	22.53244882106	-1.97223601870	33.08172139300	0.88959584145	-1.40006865934
46	-36.90728141656	-1.12045292554	5.42713184134	0.36718219516	2.86780244482	9.36961416116	-0.60998017584	14.37234619860	-3.15637368060	-16.21273485721
47	-46.50178412276	-4.81914179220	-1.72545771643	8.60639231996	11.47021369312	0.06567486307	4.10567407320	-0.38111321846	-7.58743653814	-16.22368089501
48	-39.50840388296	-1.10851209713	-4.40220581579	7.53867795661	14.67435123284	-11.34184949798	6.77744665123	-10.46519002560	-7.71381128845	-12.60360264679
49	-22.51677546522	5.63609719075	-12.26328811674	6.71475704641	13.77082470903	-3.54246235219	7.31080606258	-1.29707847738	-5.08781176095	-10.84431264004
50	-5.40822529672	7.12174225294	-9.33080607677	3.36931955617	13.28423388889	2.32250200051	6.76650115893	11.32692347952	-8.86212626058	-11.31498244656
51	-3.09766432918	3.03198946611	-5.25398904532	-0.94731012952	7.43817580805	-2.96332934480	8.06507185630	16.07541570559	-11.46026374149	-6.89387035891
52	-4.09646954968	2.57326041981	-6.39931903196	-3.13647214082	4.07781202661	-9.26214595546	8.20239209892	6.80331870749	-10.97168184001	-4.03900394222
53	3.35663227683	4.96641253196	-8.94770239067	-5.40424531607	1.65779272666	-10.66918039920	6.09582150497	-8.26955972748	-12.89316915048	-5.38036325014
54	-1.08612293307	6.14258955067	-9.30692401083	-4.81317127572	-1.89860051245	-6.63714142313	4.28279712262	-20.86669599671	-13.26731678910	-3.45489568626
55	-3.45116418165	1.01298499259	-8.67206691027	-1.67570400336	-0.60798998095	-5.65599873053	-0.77018701191	-27.24710684755	-10.79853958950	-0.21095561249
56	-3.90193272114	-1.39011788945	-3.01109293117	-0.15523148522	-0.28658121136	-11.85132738889	-3.23299430872	-32.35681068411	-6.68888499015	0.63983234913
57	-10.54454743592	3.15637368060	2.22199957921	-1.15727074685	-0.63784222243	10.65126830424	-1.92447243233	-34.99723764148	1.17518202355	2.09861035989
58	-15.95152898869	4.78530922913	3.12552637577	-0.20299503750	1.66077798490	26.23611320904	-2.09662023318	-34.80170581778	5.44106286463	6.13562403903
59	-28.98276462816	-0.76919194856	-1.48265980394	3.19418649708	4.21811725472	23.04988558227	2.01701434682	-28.57752011766	9.81341691625	6.80232371233
60	-46.83065620843	-2.91457076327	-7.62524962737	2.14438381955	3.37528979990	15.37189848373	4.53455080983	-15.77390816894	8.80441163157	6.25005775637
61	-58.33345926617	-0.87665988151	-11.12193811076	2.48270876840	-1.26075829002	4.33056070899	1.55530017866	-16.59733103605	9.30692401083	7.28592954698
62	-43.29615409030	1.51151684569	-18.88550352141	1.19209830509	-4.11661983825	-6.96949599186	-1.79909322268	-18.34965498565	11.72893316473	9.29199799238
63	16.39632673895	13.95590799251	-28.98550086486	1.88964487410	-0.80103431674	-6.90780138220	-4.59525042433	-7.36454016543	4.46091516720	6.17443212342
64	64.59670070846	22.87475334143	-23.39716726047	2.63794028771	-2.87874820987	-0.35822652272	-9.88804700854	3.43897467264	0.53435457698	3.27080712520
65	70.97338032744	21.58414205987	-14.28030259994	1.20304407014	-0.59007870425	-1.21000958179	-10.20846054431	4.65495449816	2.38618660050	2.34041327721
66	61.24131081183	18.97008465634	-8.57952526853	0.30747778039	-0.90750718634	-2.22498470108	-7.56455001287	-1.07617216318	-5.13458035216	-4.09273804507
67	51.29952860943	16.38687319389	-8.02427432708	-0.87267962810	-1.25379277837	-16.94809519732	-3.42603864451	-5.54405304660	-10.36866785770	-3.13547714566
68	35.94852938816	11.09308106901	-13.38871601810	-2.75137873715	-0.09751722272	-25.60324609881	-2.86083693318	-7.67649569680	-3.05786152237	4.72162462914
69	8.51957190041	5.42215632002	-12.81654906786	-4.04298446837	0.42290632243	-26.30775722484	-4.26787110416	2.20558079526	2.49863005477	8.72679600829
70	-3.81113204819	3.87382192576	-12.75286392237	-6.78540715804	-4.08079701210	-20.50249721872	-4.56539811466	12.72699186611	-3.44195993088	13.88625287604
71	0.87243081113	4.27782160130	-8.49295359777	-1.96825576529	2.60609798772	3.45489568626	-4.64002847970	19.48752359956	-5.54952606550	11.34981055029
72	6.57246182797	5.33857018025	1.60604888689	1.81302424598	10.60052027789	25.93958064820	-8.90889485178	24.49025672800	-6.40727953877	7.30682608192
73	-5.16343739391	2.84491564680	4.04198920046	-0.29553688380	8.04119033587	37.11425786665	-8.76261856169	26.52617611931	-7.80834292052	6.69883603279
74	-14.53379725594	-3.26185162322	0.28857137215	-2.81108308373	2.51355607323	47.70581991506	-7.61330859440	20.82440433824	-9.50195833695	1.31747751474
75	-2.24612998481	-6.79038267936	-5.98437331862	-3.20413726697	5.16841291523	62.29758109430	-7.48195886826	11.79759328604	-9.41837219719	-9.78057880284
76	3.85839813697	-4.13751637319	-3.92954601894	-3.68177258513	1.73739861302	53.76781049346	-7.68296371087	0.70053189544	-3.73948694139	-17.81878469872
77	-1.27593319364	0.77217713861	6.94461893077	0.85974366816	4.79526027177	28.46706692647	-2.00308332353	-3.64296477349	-0.46469939232	-21.15725640456
78	12.23741606048	3.80814706270	8.41434297933	4.90571346296	6.94561447143	12.61952475141	-1.08363524060	-6.17443212342	2.51554633631	-13.11308053770
79	24.91042616595	2.05482716330	8.70490447818	1.37618686616	1.41001942923	-7.61032360891	-0.20100487670	-6.58241232511	7.59042206913	-3.84695487434
80	17.79341014004	-3.45589095418	20.10844858582	0.46171416817	-2.24687636756	-48.23719097258	6.63515143280	-0.83188162157	11.15477622417	0.14030539005
81	-13.44643010160	-10.21045053464	32.36676063574	-2.77327026725	-6.14059956035	-66.78337277710	8.96660893528	8.30239729539	11.27318937667	1.39907352780
82	-30.12684977984	-10.17661851707	29.52980685951	-5.46295439474	-6.93367343846	-46.81025444356	5.88486561973	3.12801413643	10.23234261025	2.07373357154
83	-22.88545172145	-4.22408777120	29.86813139923	-1.49062031075	-4.32857044591	-28.25611267773	1.99412768518	-2.75436399539	9.87809596590	3.88476769081
84	-14.07929721183	-7.07397866657	39.34023660826	2.23891572437	-0.41693587414	-26.50478154129	-4.27384134789	-4.04547195628	5.61420566065	3.33250173486
85	-9.48354983542	-14.07034225536	28.41731498628	2.31255123062	2.68570387408	-19.46762151428	-9.53877643102	-2.39315211215	3.02601894963	2.96830486612
86	-6.72744432575	-10.36667786737	10.09004739181	6.45404758447	1.43688634428	-5.55848156747	-12.18965301962	-2.83197961867	0.33932011448	1.87969410421
87	-18.98376583984	-8.59644127732	6.69485550663	6.76749615409	-0.69456144714	-2.46778274994	-14.42359281354	-2.07671869341	-7.53071744980	-0.23583245198
88	-37.03316139680	-9.18552478184	20.73833071057	1.06074851077	-1.38315237780	0.47763535226	-11.31896351821	3.30861994167	-7.08989968019	-2.56629490816
89	-56.54854267894	-11.49310076389	31.59060331191	-2.30359545590	2.01601921528	18.89445847788	-7.02522008504	10.14328399708	-2.81207807889	1.40802930253
90	-51.70502405073	-12.59365269515	21.76922643435	-1.73341835962	7.01825457339	43.19415835800	-2.56330964992	5.97790530455	-3.58724068031	6.41225451459
91	-41.72294018019	-10.58061819261	9.58255949123	-2.05383203176	9.11686520603	41.27565494202	0.51942845624	3.85989090247	-7.01626458307	3.03696471468
92	-20.79554729649	-3.88377242290	-11.33488453184	-2.72053143232	9.71291367670	38.80190494861	2.37325084512	18.27651847711	-9.68803770660	-1.94437397211
93	30.19625723852	8.83227367816	-36.01569592572	-1.40404891274	6.74062910267	41.43884724090	5.61619565098	57.10080863490	-12.64141573602	-5.36145670552
94	57.27320463904	13.47130716270	-46.59929801281	-1.44186172922	4.79426473111	23.66285278923	4.17433392175	63.97826321011	-12.46926848067	-10.50698309548
95	75.40419852745	18.11233118307	-41.31446411742	2.40907339852	6.05303289442	-3.50663952604	0.08756648693	62.33489777695	-11.29707144261	-12.47921843230
96	63.34116518842	15.36791741207	-27.37348214336	3.03696471468	3.22602879707	-7.26204748105	-5.46295439474	62.65431740856	-6.75057959981	-9.39548512642
97	37.05753877831	11.45926874632	-27.50184524750	0.98512294600	0.96323134771	-26.01918680731	-1.36325097440	60.39102198429	-2.70062989254	-9.19647081964
98	23.19964544644	9.82436186305	-19.46463652879	1.13239382213	-1.56226569030	-55.84552622766	9.29398798270	71.17612804808	7.52972245463	-7.36354517026
99	-9.39548512642	2.38220634710	-6.31971287285	5.40324977540	-2.79217681187	-45.53855025211	11.97173162272	72.37568636214	8.42628401229	-0.82690623663
100	-26.26397525563	-0.42589154658	-4.29175262459	8.31483582594	-3.50564453087	-35.97589393717	9.83530790086	55.99478423024	5.40324977540	3.53052131922
101	-32.43641684322	-4.96442254163	-2.10358574483	7.97949572621	-4.58728937202	-31.40651611460	12.13591891677	27.71180668308	7.67798818955	7.02920061120
102	-27.48990530554	-4.61316142828	-7.09587019668	6.46996914359	-5.80526000612	-29.56562886741	10.55474613635	-8.36956492395	10.15074646081	9.69997764857
103	3.21781954147	1.24085688662	-19.18502106774	6.01721034102	-5.99830434191	-51.68014480762	10.80251957015	-41.65328615472	8.40439248219	11.31398745139
104	24.20044038452	4.54450157972	-16.06944464361	7.58843207880	-5.53360450637	-60.10643154743	11.65927804826	-56.14205660650	9.26911092160	3.89969370927
105	40.40596370880	4.49375273511	-5.26991005894	7.58644154297	-6.45703311546	-71.11393648634	4.84401885330	-72.35877144436	10.80351456532	2.96432433997
106	64.39270924386	4.38429453909	10.90899278069	1.91750692068	-2.69465937606	-73.21155212382	0.62092594089	-89.79594822274	6.75655011629	5.69679680525
107	63.97751696374	6.64311193961	34.80867296593	-0.45773388067	0.46569448976	-47.37744969099	-1.93044294882	-101.95226672236	2.45186146357	2.71754617407
108	46.73114796404	3.75142770160	51.50998754260	-2.31852174711	3.15338842236	2.25284674766	-5.73162436349	-91.38159520838	1.10154658549	2.80212758176
109	24.93779071496	-3.34543776299	56.32415381348	-1.30056123320	2.42698467522	36.20476028086	-5.67789026064	-74.26035557854	-6.02417585267	3.13249188742
110	8.13771250377	-2.21602906273	40.99703447614	-2.49564479653	-0.70451214884	55.17484711920	-0.98114262440	-62.95930524628	-8.54967323162	0.87964513975
111	-5.04303316008	-2.61107323629	16.45553331520	-3.30563468343	1.34633469286	81.36916834937	0.84581264487	-37.03564888471	-7.87003753018	1.29260072639
112	-13.78973070814	-5.06392969502	6.88690484726	-3.00810767293	2.15433445306	88.65111027867	-0.01094581087	-3.69271835018	-8.09293444839	1.34235443946
